userName,content,score
AHMAD FAIZAL,Gacooor,5
Stevanus Nowo,Keren,5
Poetra Khadizah,Selama ini sangat baik,5
Didin Saprudin,Ternyata banyak juga yg sama Octo setelah update sering close sendiri tolong diperbaiki!,2
artha nugroho,Asli mobile apps nya nyaman,5
Cucu Kurniawati,Worked,5
Nanang Iswahyudi,"Tidak bisa login keterangan ""permintaan anda tidak dapatdl di proses"". Mohon maaf saat ini perangkat anda tidak bisa mengakses OCTO Mobile info lebih lanjut. 14041. Sudah telpon dapat no tiket,, masalah belum selesai dapat notif masalah anda sudah teratasi no tiket di tutup. Hadeeehh..",1
Arif Suwadji,Aplikasi sering nutup dan heng di hp,4
shifah Raffa alfarizi,Kok di hp Oppo a53s gak bisa ke buka yah,1
Adam Hawa,Ok,5
Eko Widiyanto,Mantep,5
Muhammad Naufal Nafi',"Tampilannya memudahkan, dan cara cek saldonya mudah. Semoga Allah mudahkan kita untuk bermuamalah sesuai syariah",4
Heni Purwanti,Makin cepat pelayanannya..,5
Alifil Ma'luf,Mantafff,5
Sandi Purnama,Ok,5
abustan pratama,Sangat bagus,5
media info,Gak bisa login .udah masuk mental lagi,1
Gunawan Sinaga,"Tolong Di Perbaikan untuk Log in melalui aplikasi nya, dan bahkan Sistem Transfer melalui Octo Clicks tidak dapat di Gunakan atau bermasalah.",1
Guntur Sanjaya,Ga jelas,1
fikri belel,"mau log in aja susah banget,,padahal nomer sama id nya udah bener, nunggu passcode lewat sms ga muncul2 sms nya ..",5
Moka Chan,"Saya baru saja menginstall dan membuka rekening ponsel baru. Data-data yang diperlukan sudah saya isi secara sesuai, bahkan saya sudah mendapat email verifikasi tentang pembukaan dan upgrage akun yang berhasil. Namun ketika akan login menggunakan user id, muncul notif passcode telah dikirim. Namun tidak pernah masuk/saya terima",1
Nanang Rufy,"Apk ga guna passcode ga muncul², butut",1
Abdul Azis,Aplikasi nya bagus jadi gampang buat trasfer,5
achmad muchsinin,Ok,5
Sutisna 76a,Sangat baik,3
Yovita Ita,089624540091,5
R R,"Aplikasi berat,kelamaan loading",5
Pak Dede,Salam sejatra semua silahkan dilanjutkan trimakasih Dede Haryanto dari Bandung Jawa barat indonesia,5
Ricco Prayudha,Cepat dan mempermudah pembayaran,5
sep Bastard,"RUDETT PASCODE"" TEU MARUNCUL MALAH SALAH PASCODEEE TIDAK BERHASIL RUDETT BOSSS.UPDATE LAGI SUPAYA BISA DI MENGERTI",1
Yanu Gendus,Aplikasi nya suka forclose,1
Abdi Rahmanto,Sudah berkali-kali coba tidak bisa login Semoga lekas diatasi agar mempermudah nasabah,1
Hafis Mustaqim,Sangat memuaskan..,5
MAD TOHA,Ok,5
Yohanes,GACOR OCTO MOBILEEEE,5
Akun Tuku,ribet ya bikinnya dan gak bisa buka aplikasi hebat bener aplikasinya 😇,1
Des Xac,. Pornco,3
Badai Nk,"Kesini sini kok makin ngaco yaa OCTO, saat akun masuk langsung blank dan begitu tampil ada keterangan Null jadi tidak bisa digunakan. Tolong di perbaiki lagi, ngebug terus. terima kasih!",1
Anjang Permana,Cepat,5
Hendra Horatian,sangat mudah cara pakainya,5
pratama sound system,"Setelah di update, di menu rekening saya, yg tadinya ada beberapa no rekening dan no kartu kredit.. Jadi hilang no kartu kredit nya jadi susah mantau tagihan kartu kredit nya",1
tebe entoes,"Percuma download tapi ga bisa digunakan, Handphone beli dari baru dan sebelumnya bisa digunakan aplikasi nya setelah di-update malah ga bisa log in dengan alasan perangkat sudah di Oprek..hadeuuuhhh menyebalkan",1
Fernando Lumbantobing,Trims,5
Septian cahyadi,Login aja susah minta kode sms tapi gapernah ada kode,1
abdul gufron,Semoga maju terus CIMB niaga dan di tunggu banyak hadiah x,5
Andi Sugianto,"Lagi butuh mau ambil uang g muncul2 otp nya.kesel........g kyk yg kmarin2.pake pulsa lagi""kuno",3
Harry Gondo,SANGAT membantu,5
Sunarno Narno,Sangat bagus utk proses perbankan .. cepat sekali .. terima kasih ...,5
parit cahyanto,Ok,5
Mochamad Armansyah,apk sering berhenti tidak berjalan,2
Heri Sugiyanto,Serbaguna,5
Edi Prayitno,Mantap,5
riswanda 24,"Ayooo dong benerin sistem app nya dong masak nasabah setia dari 2018 sampe skrng tp aplikasi nya susah di buka. Jgn sampai banyak orang pindah ke bank lain, yok bisa bank CIMB NIAGA",1
Syarif Bachtiar,Sangat mudah dan cepat thnk u Cimb,5
Nisaa,"Aplikasi nya berat padahal hpku ram 6, dan m-banking yg lain aman2 aja.",2
Lies M Riani,Kalau mau buka aplikasi Octo suka ketutup sendiri . Payah,2
Rian Ibnu,Top mantab is the best,5
muhamad daradjat,"Promosi makanan dan minuman, service motor menggunakan Octo mobile minta di adakan",5
Ro Kin,Bagus cuma rada ngelag,4
Wahyu Saputra,"HP saya bahasa inggris, tapi pengen di aplikasi octo mobile bahasa indonesia, tanpa harus ubah bahasa di HP, semoga update kedepannya bisa ya 👍 ada pengaturan bahasa",5
Danil Amirullah,Tolong lebih di tingkatkan LG 👌,5
Bina Yanti,"Sangaat membantu,,terimakasih ❤️",5
acun Woen,Good,5
Mur Tono,Sangat membantu sekali dalam mempermudah transaksi,5
Octa Rina,Awalnya sy lancar2 pake aplikasi ini tp kanpa akhir2 ini tiba2 jailbreak/root tau2 aplikasi tdk bs dibuka ... berkali2 ... jdi susah mau pake nya ... ini sdh kesekian kali sy hrs download ulang n msh tdk bs dibuka alias muncul tulisan jailbreak/root... sementara ksih rating 1 .. kecewa bngts dah ngga bs download ... mslah tetap sama ... tdk ad perubahan ... mhn maaf terpaksa sy uninstal apl ini utk sementara wktu .. sdh dtng ke cust serv jg tdk ad hasil ... paraaaahhhhhhhh,1
Aris Kopi,Bagus,5
Digi Harra d,Ntaaaaaaps,5
Prayogo Sucipto,Bayar kartu kredit tidak Pernah telat tapi tetap kena charge ALASAN NYA CUMAN BILANG MAAF KARENA KESALAHAN SISTEM Jangan sekali2 pakai CRedit card cimb ini LAGII,1
Arbi Apriansyah,Mudah digunakan & banyak fitur yg membantu aktifitas transaksi,5
Hidayatullah Dayat,Sangat membantu memudahkan transaksi,5
Gilang Sudrajat,Good lah,5
Bayu Jeblenk,Jos gandos,5
Kimwira Kesuma Halim,Aman saja bagus aja. Tks,5
Christian Rawung,Good application,5
Edi Sutrisno,"Aplikasi sampe di update ,hp di restart lg tp tetap aj error..!!! Tolong perbaiki kembali lah,,,masih aj kendala gak bisa masuk/login ke apk...minta bintang lebih tapi gk ada tanggapan yg relevan klu ada yg comolain 😥😔",1
Heru Eko,siippp....,5
Adrian Nurhamim,M banking terkonyol udh bner id nya malah ke blokir,1
uul labiqul,memudahkan,5
Hamidah Ida,👍,5
Chodiroh Diroh,Sangat pintar,3
Papa Devin (Edi),"Keren sih, tabku aja bisa konek mbanking",5
Sujono,Apa ini,5
Ery Ekklesia,Tingkatkan!!,5
Wiwin Trisnawati,"maaf kasih rating rendah,skrng m banking semakin ancur dah,mau login selalu layar hitam dan keluar sendirinya udh di uninstal masih aja malah lebih parah..sprtnya udh banyak komplain dr nasabah tp kok gak ada review perbaikan sih..trims",1
hadi nugroho,Alhamdulillah,5
INDRA 024,Parah nih Bank CIMB Niaga Bank paling ngaco yang pernah saya pakai.,1
Subhan Sofyandi,Minta password koq gak dikirim2,1
Obaja,Aplikasi ini sangat cocok digunakan untuk permainan di Indonesia,5
Suroso Laksono,Octo mobil apk sangat berguna,5
Taufiq akbar,"Was was dengan apk ini TF nominal kecil 50-500k langsung terkirim sedangkan nominal gede 2,8jt sedang proses saya coba TF nominal 50k lagi langsung terkirim chat cs nunggu kabar selanjutnya tapi sampai skrng ga ada kabar chat saya juga ga dibales saya kasih bintang 1 kecewa banget padahal fitur ma oke simpel dan bnyk event tapi kalau kyk gini ga ada respon gue kasih bintang 5 kalau uang saya balik",1
mjeff jeff,"Di download nggk bisa di pake, karena setiap mau masuk di keluari terus dr aplikasi,,kecewa Malahan udah di unistal terus di install kembali, tetap sama aja",1
Anwar Hakim,"Gak bisa login, SMS verifikasi gak muncul². Aplikasi mobile banking dari Bank lain gak ada masalah, cuma Octo mobile CIMB niaga ini aja",1
Upik Kuswanto,"Mudah digunakan, suka sekali. Mantap",5
Ahmad Fudine,Simple,5
Liya Fahri,"Aplikasi octo mobile nya sering keluar sendiri min, kirain cuma saya yg mengeluh ternyata sudah banyak disini yg mengeluhkan masalah yg sama",1
Marsup,Mantab Selalu,5
cak Mad - Gresik,Ok,5
revi oliana,Banyak gratis nya.. sukaa,5
Sofiyan NA,Ok,5
helmi muhamad,Makin serung update makin banyak eror + makin gk guna,1
gilang aga,"Transfer sering gagal, padahal sinyal bagus",3
Andri Ansyah,Loading masih lambat ga kaya bank lain,4
R Rinawan,Terimakasih CIMB sudah responsif,5
Emy Elsje Sigalingging,"Sampai sejauh ini sih di OS android stock hp saya gak ada masalah & per-hari ini saya tulis ulasan saya ,aplikasi belum saya update lg Krn saat posting ini di play store minta update....soalnya takut error 😁😄😅😂😆🤣 apalagi pas baca ulasan dr pengguna yg lain",4
Dwi gilang Ramadhan,Mudah & respon cepat,5
Rizkia Julisa,Pokoke mantaaao 👍👍👍,5
Michael Lucky,Bagus,5
Ari,Aplikasi yg sangat bagus... Memudahkan transaksi 👍👍👍,5
Muhammad Hasniar,Mantap,5
VST PLUGINS SHOW,"Login saja sudah tidak bisa, lewat web bisa.. Niat buat aplikasi apa tidak?",4
Martinus Purna,"sdh sangat bagus dan banyak membantu,cuman channel pembayaran lainnya harus banyak ditingkatkan misalnya pembayaran di pelabuhan",5
Muhammad Sastiono,"Mau daftar tidak bisa masuk beranda. Setiap buka aplikasi langsung notif ""mohon maaf, saat ini perangkat Anda belum dapat digunakan untuk mengkases OCTO Mobile. Info lebih lanjut: 141041"" kenapa tuh?",1
Betria Elsa,Ketua,3
Leoni Ng,👎👎👎,1
Lala Dewi,Bagus saya suka,5
Kustian Aldi,Gabisa buka udh laporan via e-mail dan udh 1 bulan ga ada hasil,1
evans lukars,Keren,5
Zu Zunedtea,Gampang sangat efisien tdk buang waktu. Terima kasig octo,5
Haris Man,Mantap,5
junaidi ahmad,Mantap,5
Markoest,"Sangat membantu cuman kalau sudah masuk app terus masuk ke rekening,pada saat mau ke beranda lagi itu agak alama tidak secepat masuk...terimakasih",4
Fira Artika Oktavian,Thankyou Octo,5
Kiki Orlando,Bank paling Gajelas,1
Aldi Putra,"Amit amit dahh, kaga ada kebijakan sama sekali",1
Andy Cp17,Kenapa ya di versi android 11 tidak support tp di versi 8 suprot,1
Abah Kolot,Ojok yg punya rekpon sebaiknya punya apps ini,5
Darwin Afifah,Ribet GX kaya bank tetangga m banking nya setiap login udah masukan id nunggu SMS kode dulu mending langsung ada mah code nya ini kaga muncul muncul kecewa pake octo mobile,1
